year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,Rural regions,Owner,7 rooms,0.06790,66,948,0.05188,0.08392
1993,Rural regions,Owner,8 rooms,0.03151,31,948,0.02038,0.04264
1993,Rural regions,Tenant,1 room,0.06215,54,1201,0.04849,0.07581
1993,Rural regions,Tenant,2 rooms,0.30595,299,1201,0.27988,0.33203
1993,Rural regions,Tenant,3 rooms,0.40960,563,1201,0.38178,0.43743
1993,Rural regions,Tenant,4 rooms,0.15422,229,1201,0.13379,0.17466
1993,Rural regions,Tenant,5 rooms,0.03993,56,1201,0.02885,0.05100
1994,Urban regions,Owner,2 rooms,0.08582,98,1322,0.07071,0.10092
1994,Urban regions,Owner,3 rooms,0.21035,274,1322,0.18837,0.23233
1994,Urban regions,Owner,4 rooms,0.26265,359,1322,0.23892,0.28638
1994,Urban regions,Owner,5 rooms,0.20154,288,1322,0.17991,0.22317
1994,Urban regions,Owner,6 rooms,0.13073,184,1322,0.11255,0.14891
1994,Urban regions,Owner,7 rooms,0.06696,83,1322,0.05348,0.08044
1994,Urban regions,Owner,8 rooms,0.02128,36,1322,0.01350,0.02906
1994,Urban regions,Tenant,1 room,0.08966,200,2943,0.07934,0.09998
1994,Urban regions,Tenant,2 rooms,0.32682,821,2943,0.30987,0.34377
1994,Urban regions,Tenant,3 rooms,0.39201,1261,2943,0.37437,0.40965
1994,Urban regions,Tenant,4 rooms,0.13710,500,2943,0.12467,0.14953
1994,Urban regions,Tenant,5 rooms,0.03507,122,2943,0.02842,0.04172
1994,Urban regions,Tenant,6 rooms,0.01239,39,2943,0.00839,0.01639
1994,Rural regions,Owner,2 rooms,0.04056,42,963,0.02810,0.05303
1994,Rural regions,Owner,3 rooms,0.21656,199,963,0.19053,0.24259
1994,Rural regions,Owner,4 rooms,0.25124,250,963,0.22384,0.27865
1994,Rural regions,Owner,5 rooms,0.23852,243,963,0.21159,0.26545
1994,Rural regions,Owner,6 rooms,0.13504,132,963,0.11344,0.15664
1994,Rural regions,Owner,7 rooms,0.05931,63,963,0.04438,0.07424
1994,Rural regions,Owner,8 rooms,0.03741,34,963,0.02541,0.04940
1994,Rural regions,Tenant,1 room,0.06177,56,1160,0.04791,0.07563
1994,Rural regions,Tenant,2 rooms,0.31836,302,1160,0.29155,0.34518
1994,Rural regions,Tenant,3 rooms,0.40787,539,1160,0.37957,0.43616
1994,Rural regions,Tenant,4 rooms,0.14690,218,1160,0.12652,0.16728
1994,Rural regions,Tenant,5 rooms,0.02950,45,1160,0.01976,0.03924
1995,Urban regions,Owner,2 rooms,0.08709,100,1362,0.07211,0.10207
1995,Urban regions,Owner,3 rooms,0.21126,286,1362,0.18957,0.23295
1995,Urban regions,Owner,4 rooms,0.26141,359,1362,0.23806,0.28475
1995,Urban regions,Owner,5 rooms,0.20176,295,1362,0.18044,0.22309
1995,Urban regions,Owner,6 rooms,0.13113,195,1362,0.11320,0.14906
1995,Urban regions,Owner,7 rooms,0.06389,88,1362,0.05090,0.07688
1995,Urban regions,Owner,8 rooms,0.02150,39,1362,0.01380,0.02921
1995,Urban regions,Tenant,1 room,0.10216,218,3035,0.09138,0.11293
1995,Urban regions,Tenant,2 rooms,0.33357,859,3035,0.31679,0.35035
1995,Urban regions,Tenant,3 rooms,0.38582,1295,3035,0.36850,0.40314
1995,Urban regions,Tenant,4 rooms,0.12830,503,3035,0.11640,0.14020
1995,Urban regions,Tenant,5 rooms,0.02770,117,3035,0.02186,0.03354
1995,Urban regions,Tenant,6 rooms,0.01323,43,3035,0.00917,0.01730
1995,Rural regions,Owner,2 rooms,0.03574,37,952,0.02394,0.04754
1995,Rural regions,Owner,3 rooms,0.20431,190,952,0.17868,0.22993
1995,Rural regions,Owner,4 rooms,0.26171,250,952,0.23377,0.28965
1995,Rural regions,Owner,5 rooms,0.22990,234,952,0.20315,0.25664
1995,Rural regions,Owner,6 rooms,0.14148,139,952,0.11933,0.16363
1995,Rural regions,Owner,7 rooms,0.05819,61,952,0.04331,0.07307
1995,Rural regions,Owner,8 rooms,0.04742,41,952,0.03391,0.06092
1995,Rural regions,Tenant,1 room,0.05443,56,1225,0.04172,0.06714
1995,Rural regions,Tenant,2 rooms,0.31427,316,1225,0.28826,0.34027
1995,Rural regions,Tenant,3 rooms,0.40200,555,1225,0.37453,0.42947
1995,Rural regions,Tenant,4 rooms,0.15509,243,1225,0.13481,0.17537
1995,Rural regions,Tenant,5 rooms,0.04011,55,1225,0.02911,0.05110
1996,Urban regions,Owner,2 rooms,0.08497,97,1363,0.07016,0.09978
1996,Urban regions,Owner,3 rooms,0.20378,268,1363,0.18239,0.22517
1996,Urban regions,Owner,4 rooms,0.26754,373,1363,0.24403,0.29105
1996,Urban regions,Owner,5 rooms,0.20128,295,1363,0.17998,0.22257
1996,Urban regions,Owner,6 rooms,0.13376,200,1363,0.11568,0.15184
1996,Urban regions,Owner,7 rooms,0.06702,95,1363,0.05374,0.08030
1996,Urban regions,Owner,8 rooms,0.02071,35,1363,0.01315,0.02827
1996,Urban regions,Tenant,1 room,0.09100,193,2984,0.08068,0.10132
1996,Urban regions,Tenant,2 rooms,0.34223,849,2984,0.32520,0.35926
1996,Urban regions,Tenant,3 rooms,0.37603,1263,2984,0.35864,0.39341
1996,Urban regions,Tenant,4 rooms,0.14022,519,2984,0.12776,0.15268
1996,Urban regions,Tenant,5 rooms,0.03117,116,2984,0.02494,0.03741
1996,Urban regions,Tenant,6 rooms,0.01171,44,2984,0.00785,0.01557
1996,Rural regions,Owner,2 rooms,0.03573,41,979,0.02410,0.04736
1996,Rural regions,Owner,3 rooms,0.21489,198,979,0.18915,0.24063
1996,Rural regions,Owner,4 rooms,0.23109,237,979,0.20467,0.25751
1996,Rural regions,Owner,5 rooms,0.24386,251,979,0.21694,0.27077
1996,Rural regions,Owner,6 rooms,0.14635,147,979,0.12419,0.16850
1996,Rural regions,Owner,7 rooms,0.06273,67,979,0.04753,0.07792
1996,Rural regions,Owner,8 rooms,0.04088,38,979,0.02847,0.05329
1996,Rural regions,Tenant,1 room,0.06347,66,1185,0.04958,0.07735
1996,Rural regions,Tenant,2 rooms,0.30727,302,1185,0.28099,0.33355
1996,Rural regions,Tenant,3 rooms,0.38374,513,1185,0.35604,0.41144
1996,Rural regions,Tenant,4 rooms,0.16531,241,1185,0.14416,0.18647
1996,Rural regions,Tenant,5 rooms,0.04666,63,1185,0.03464,0.05867
1997,Urban regions,Owner,2 rooms,0.08302,87,1390,0.06851,0.09753
1997,Urban regions,Owner,3 rooms,0.20469,278,1390,0.18347,0.22591
1997,Urban regions,Owner,4 rooms,0.26136,387,1390,0.23826,0.28447
1997,Urban regions,Owner,5 rooms,0.20140,303,1390,0.18031,0.22249
1997,Urban regions,Owner,6 rooms,0.13859,205,1390,0.12042,0.15677
1997,Urban regions,Owner,7 rooms,0.07065,94,1390,0.05717,0.08412
1997,Urban regions,Owner,8 rooms,0.02053,36,1390,0.01307,0.02799
1997,Urban regions,Tenant,1 room,0.09010,178,2894,0.07966,0.10053
1997,Urban regions,Tenant,2 rooms,0.33234,808,2894,0.31517,0.34951
1997,Urban regions,Tenant,3 rooms,0.39524,1253,2894,0.37742,0.41306
1997,Urban regions,Tenant,4 rooms,0.12807,488,2894,0.11589,0.14024
1997,Urban regions,Tenant,5 rooms,0.03386,119,2894,0.02727,0.04045
1997,Urban regions,Tenant,6 rooms,0.01413,48,2894,0.00983,0.01843
1997,Rural regions,Owner,2 rooms,0.03343,41,997,0.02227,0.04459
1997,Rural regions,Owner,3 rooms,0.21892,202,997,0.19324,0.24460
1997,Rural regions,Owner,4 rooms,0.24257,253,997,0.21595,0.26919
1997,Rural regions,Owner,5 rooms,0.24173,253,997,0.21515,0.26832
