year,pgisced97,quintil_oecd,pli0097_h,proportion,n,lower_confidence,upper_confidence
2017,middle vocational,2. Quintil,Min 1x pro Monat,0.0006196266749283557,45410,0.0003907451272800575,0.0008485082225766539
2017,higher vocational,5. Quintil,Min 1x pro Monat,0.0005809000077453334,45410,0.0003592821083741702,0.0008025179071164967
2017,middle vocational,3. Quintil,Min 1x pro Woche,0.000503446673379289,45410,0.00029712364267541684,0.0007097697040831612
2017,higher education,3. Quintil,Min 1x pro Monat,0.00046472000619626676,45410,0.0002664874099660602,0.0006629526024264734
2017,higher education,1. Quintil,Seltener,0.0004259933390132445,45410,0.0002361964010382552,0.0006157902769882338
2017,general elemantary,1. Quintil,Seltener,0.0003872666718302223,45410,0.00020629888638658994,0.0005682344572738547
2017,middle vocational,2. Quintil,Min 1x pro Woche,0.0003872666718302223,45410,0.00020629888638658994,0.0005682344572738547
2017,higher vocational,3. Quintil,Min 1x pro Monat,0.00034854000464720004,45410,0.00017685556353723834,0.0005202244457571618
2017,higher education,2. Quintil,Min 1x pro Monat,0.00030981333746417784,45410,0.00014794455876586298,0.00047168211616249267
2017,vocational + Abi,2. Quintil,Seltener,0.0002710866702811556,45410,0.00011966935963767306,0.00042250398092463814
2017,higher vocational,4. Quintil,Min 1x pro Monat,0.0002710866702811556,45410,0.00011966935963767306,0.00042250398092463814
2017,vocational + Abi,5. Quintil,Min 1x pro Woche,0.0002710866702811556,45410,0.00011966935963767306,0.00042250398092463814
2017,in school,1. Quintil,Seltener,0.00023236000309813338,45410,9.217209828854395e-05,0.00037254790790772283
2017,higher education,3. Quintil,Min 1x pro Woche,0.00023236000309813338,45410,9.217209828854395e-05,0.00037254790790772283
2017,higher education,1. Quintil,Min 1x pro Monat,0.00023236000309813338,45410,9.217209828854395e-05,0.00037254790790772283
2017,higher vocational,2. Quintil,Seltener,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,vocational + Abi,1. Quintil,Seltener,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,general elemantary,2. Quintil,Min 1x pro Monat,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,inadequately,2. Quintil,Seltener,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,higher education,2. Quintil,Min 1x pro Woche,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,middle vocational,1. Quintil,Min 1x pro Monat,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,vocational + Abi,4. Quintil,Min 1x pro Monat,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,in school,5. Quintil,Seltener,0.00019363333591511115,45410,6.56573944476741e-05,0.0003216092773825482
2017,general elemantary,3. Quintil,Min 1x pro Monat,0.00015490666873208892,45410,4.0439290054895504e-05,0.00026937404740928235
2017,general elemantary,4. Quintil,Min 1x pro Monat,0.00015490666873208892,45410,4.0439290054895504e-05,0.00026937404740928235
2017,in school,3. Quintil,Seltener,0.00015490666873208892,45410,4.0439290054895504e-05,0.00026937404740928235
