year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,30-45 y.,Saxony,At least once per week,0.17417,73,3764,0.17342,0.17492
1990,30-45 y.,Saxony,At least once per month,0.34315,149,3764,0.34222,0.34409
1990,30-45 y.,Saxony,Seldom,0.48268,206,3764,0.48169,0.48366
1990,30-45 y.,Saxony-Anhalt,At least once per week,0.19536,53,3764,0.19432,0.19640
1990,30-45 y.,Saxony-Anhalt,At least once per month,0.33295,86,3764,0.33171,0.33419
1990,30-45 y.,Saxony-Anhalt,Seldom,0.47169,123,3764,0.47038,0.47300
1990,30-45 y.,Thuringa,At least once per week,0.21097,49,3764,0.20985,0.21209
1990,30-45 y.,Thuringa,At least once per month,0.35159,81,3764,0.35028,0.35290
1990,30-45 y.,Thuringa,Seldom,0.43744,108,3764,0.43608,0.43881
1990,46-65 y.,Berlin,Seldom,1.00000,32,3764,1.00000,1.00000
1990,46-65 y.,Brandenburg,At least once per week,0.16625,32,3764,0.16530,0.16719
1990,46-65 y.,Brandenburg,At least once per month,0.27163,54,3764,0.27051,0.27275
1990,46-65 y.,Brandenburg,Seldom,0.56213,112,3764,0.56087,0.56338
1990,46-65 y.,Mecklenburg-Western Pomerania,At least once per month,0.34388,44,3764,0.34240,0.34535
1990,46-65 y.,Mecklenburg-Western Pomerania,Seldom,0.65612,78,3764,0.65465,0.65760
1990,46-65 y.,Saxony,At least once per week,0.15025,61,3764,0.14962,0.15087
1990,46-65 y.,Saxony,At least once per month,0.24596,104,3764,0.24521,0.24672
1990,46-65 y.,Saxony,Seldom,0.46152,198,3764,0.46064,0.46239
1990,46-65 y.,Saxony,Never,0.14227,55,3764,0.14166,0.14288
1990,46-65 y.,Saxony-Anhalt,At least once per week,0.24806,54,3764,0.24699,0.24914
1990,46-65 y.,Saxony-Anhalt,At least once per month,0.31001,56,3764,0.30886,0.31116
1990,46-65 y.,Saxony-Anhalt,Seldom,0.44193,91,3764,0.44069,0.44317
1990,46-65 y.,Thuringa,At least once per week,0.17297,36,3764,0.17201,0.17394
1990,46-65 y.,Thuringa,At least once per month,0.31693,60,3764,0.31574,0.31812
1990,46-65 y.,Thuringa,Seldom,0.51010,106,3764,0.50882,0.51138
1990,66 and older,Saxony,Seldom,0.54609,56,3764,0.54466,0.54752
1990,66 and older,Saxony,Never,0.45391,43,3764,0.45248,0.45534
1990,66 and older,Saxony-Anhalt,Seldom,0.46075,37,3764,0.45898,0.46251
1990,66 and older,Saxony-Anhalt,Never,0.53925,32,3764,0.53749,0.54102
1992,17-29 y.,Schleswig-Holstein,Seldom,1.00000,45,11491,1.00000,1.00000
1992,17-29 y.,Lower Saxony,At least once per month,0.27843,75,11491,0.27758,0.27929
1992,17-29 y.,Lower Saxony,Seldom,0.72157,162,11491,0.72071,0.72242
1992,17-29 y.,North Rhine-Westphalia,At least once per week,0.11269,88,11491,0.11234,0.11304
