year,rentown,hgseval,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2010,Owner,Just Right,0.7062173706691979,13799,0.698617354459968,0.7138173868784278
2010,Owner,A Bit Too Large,0.15503875968992248,13799,0.14899967944283776,0.1610778399370072
2010,Owner,A Bit Too Small,0.10251542477456099,13799,0.09745437779822212,0.10757647175089986
2010,Owner,Much Too Large,0.028318304065812372,13799,0.02555054746461057,0.031086060667014175
2010,Owner,Much Too Small,0.00791014080050625,13799,0.006432054212538292,0.009388227388474207
2010,Tenant,Just Right,0.6431635388739947,13799,0.6351702118002617,0.6511568659477277
2010,Tenant,A Bit Too Small,0.2394101876675603,13799,0.23229020675177117,0.24653016858334945
2010,Tenant,A Bit Too Large,0.06219839142091153,13799,0.058168648627958015,0.06622813421386504
2010,Tenant,Much Too Small,0.049597855227882036,13799,0.0459752799732111,0.05322043048255297
2010,Tenant,Much Too Large,0.005630026809651474,13799,0.004381604571201169,0.0068784490481017795
2011,Owner,Just Right,0.6974724562540505,16603,0.6904851660878996,0.7044597464202015
2011,Owner,A Bit Too Large,0.16746597537265068,16603,0.16178625343001435,0.173145697315287
2011,Owner,A Bit Too Small,0.10213869086195723,16603,0.0975322811883326,0.10674510053558187
2011,Owner,Much Too Large,0.02747893713545042,16603,0.02499230088417474,0.0299655733867261
2011,Owner,Much Too Small,0.005443940375891122,16603,0.004324672340078569,0.006563208411703674
2011,Tenant,Just Right,0.6738004054967335,16603,0.6666690821293701,0.6809317288640968
2011,Tenant,A Bit Too Small,0.21570173462491551,16603,0.2094452521347551,0.22195821711507593
2011,Tenant,A Bit Too Large,0.06364045956296463,16603,0.05992723887974505,0.06735368024618421
2011,Tenant,Much Too Small,0.042013967109709394,16603,0.038962285492417446,0.04506564872700134
2011,Tenant,Much Too Large,0.004843433205676954,16603,0.003787381575184811,0.0058994848361690975
2012,Owner,Just Right,0.7062310631010407,16303,0.6992391076782157,0.7132230185238656
2012,Owner,A Bit Too Large,0.1695428797259913,16303,0.16378290349402302,0.17530285595795958
2012,Owner,A Bit Too Small,0.08931629561322618,16303,0.08493833912341217,0.0936942521030402
