year,quintil_oecd_hh,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,4th Quintile,Owner,Yes,0.04347,52,1276,0.03228,0.05466
2003,4th Quintile,Owner,No,0.95653,1224,1276,0.94534,0.96772
2003,4th Quintile,Tenant,Yes,0.03734,35,997,0.02557,0.04912
2003,4th Quintile,Tenant,No,0.96266,962,997,0.95088,0.97443
2003,5th Quintile,Owner,Yes,0.03770,62,2150,0.02965,0.04575
2003,5th Quintile,Owner,No,0.96230,2088,2150,0.95425,0.97035
2003,5th Quintile,Tenant,No,0.99085,875,875,0.98454,0.99716
2004,1st Quintile,Owner,No,0.97299,320,320,0.95520,0.99078
2004,1st Quintile,Tenant,Yes,0.03983,62,1629,0.03033,0.04933
2004,1st Quintile,Tenant,No,0.96017,1567,1629,0.95067,0.96967
2004,2nd Quintile,Owner,Yes,0.06544,44,784,0.04812,0.08276
2004,2nd Quintile,Owner,No,0.93456,740,784,0.91724,0.95188
2004,2nd Quintile,Tenant,Yes,0.05765,74,1379,0.04534,0.06995
2004,2nd Quintile,Tenant,No,0.94235,1305,1379,0.93005,0.95466
2004,3rd Quintile,Owner,Yes,0.06128,57,1042,0.04671,0.07585
2004,3rd Quintile,Owner,No,0.93872,985,1042,0.92415,0.95329
2004,3rd Quintile,Tenant,Yes,0.04750,49,1150,0.03520,0.05980
2004,3rd Quintile,Tenant,No,0.95250,1101,1150,0.94020,0.96480
2004,4th Quintile,Owner,Yes,0.04528,61,1298,0.03396,0.05659
2004,4th Quintile,Owner,No,0.95472,1237,1298,0.94341,0.96604
2004,4th Quintile,Tenant,Yes,0.04738,35,968,0.03399,0.06077
2004,4th Quintile,Tenant,No,0.95262,933,968,0.93923,0.96601
2004,5th Quintile,Owner,Yes,0.03784,66,2103,0.02968,0.04600
2004,5th Quintile,Owner,No,0.96216,2037,2103,0.95400,0.97032
2004,5th Quintile,Tenant,No,0.98575,845,845,0.97776,0.99375
2005,1st Quintile,Owner,No,0.96299,312,312,0.94201,0.98397
2005,1st Quintile,Tenant,Yes,0.03865,63,1644,0.02933,0.04797
2005,1st Quintile,Tenant,No,0.96135,1581,1644,0.95203,0.97067
2005,2nd Quintile,Owner,No,0.96533,735,735,0.95209,0.97856
2005,2nd Quintile,Tenant,Yes,0.06227,71,1306,0.04916,0.07538
2005,2nd Quintile,Tenant,No,0.93773,1235,1306,0.92462,0.95084
2005,3rd Quintile,Owner,Yes,0.04914,49,1019,0.03587,0.06242
2005,3rd Quintile,Owner,No,0.95086,970,1019,0.93758,0.96413
2005,3rd Quintile,Tenant,Yes,0.04207,39,1079,0.03009,0.05405
2005,3rd Quintile,Tenant,No,0.95793,1040,1079,0.94595,0.96991
2005,4th Quintile,Owner,Yes,0.05297,62,1302,0.04080,0.06514
2005,4th Quintile,Owner,No,0.94703,1240,1302,0.93486,0.95920
2005,4th Quintile,Tenant,Yes,0.03759,32,911,0.02524,0.04995
2005,4th Quintile,Tenant,No,0.96241,879,911,0.95005,0.97476
2005,5th Quintile,Owner,Yes,0.03319,56,1974,0.02529,0.04110
2005,5th Quintile,Owner,No,0.96681,1918,1974,0.95890,0.97471
2005,5th Quintile,Tenant,No,0.98961,862,862,0.98284,0.99639
2006,1st Quintile,Owner,No,0.95115,337,337,0.92810,0.97420
2006,1st Quintile,Tenant,Yes,0.02975,49,1742,0.02177,0.03773
2006,1st Quintile,Tenant,No,0.97025,1693,1742,0.96227,0.97823
2006,2nd Quintile,Owner,Yes,0.06969,55,805,0.05209,0.08729
2006,2nd Quintile,Owner,No,0.93031,750,805,0.91271,0.94791
2006,2nd Quintile,Tenant,Yes,0.06412,83,1417,0.05136,0.07688
2006,2nd Quintile,Tenant,No,0.93588,1334,1417,0.92312,0.94864
2006,3rd Quintile,Owner,Yes,0.04849,56,1191,0.03629,0.06070
2006,3rd Quintile,Owner,No,0.95151,1135,1191,0.93930,0.96371
2006,3rd Quintile,Tenant,Yes,0.04772,53,1195,0.03562,0.05981
2006,3rd Quintile,Tenant,No,0.95228,1142,1195,0.94019,0.96438
2006,4th Quintile,Owner,Yes,0.04811,74,1485,0.03723,0.05900
2006,4th Quintile,Owner,No,0.95189,1411,1485,0.94100,0.96277
2006,4th Quintile,Tenant,Yes,0.04482,37,1008,0.03204,0.05760
2006,4th Quintile,Tenant,No,0.95518,971,1008,0.94240,0.96796
2006,5th Quintile,Owner,Yes,0.03284,62,2167,0.02534,0.04035
2006,5th Quintile,Owner,No,0.96716,2105,2167,0.95965,0.97466
2006,5th Quintile,Tenant,No,0.98380,882,882,0.97546,0.99213
2007,1st Quintile,Owner,No,0.94362,309,309,0.91786,0.96938
2007,1st Quintile,Tenant,Yes,0.03287,49,1629,0.02421,0.04153
2007,1st Quintile,Tenant,No,0.96713,1580,1629,0.95847,0.97579
2007,2nd Quintile,Owner,Yes,0.05816,40,743,0.04132,0.07501
2007,2nd Quintile,Owner,No,0.94184,703,743,0.92499,0.95868
2007,2nd Quintile,Tenant,Yes,0.06056,73,1367,0.04791,0.07320
2007,2nd Quintile,Tenant,No,0.93944,1294,1367,0.92680,0.95209
2007,3rd Quintile,Owner,Yes,0.04075,49,1124,0.02919,0.05232
2007,3rd Quintile,Owner,No,0.95925,1075,1124,0.94768,0.97081
2007,3rd Quintile,Tenant,Yes,0.04828,50,1091,0.03555,0.06101
2007,3rd Quintile,Tenant,No,0.95172,1041,1091,0.93899,0.96445
2007,4th Quintile,Owner,Yes,0.04706,71,1390,0.03593,0.05820
2007,4th Quintile,Owner,No,0.95294,1319,1390,0.94180,0.96407
2007,4th Quintile,Tenant,Yes,0.04186,34,943,0.02907,0.05465
2007,4th Quintile,Tenant,No,0.95814,909,943,0.94535,0.97093
2007,5th Quintile,Owner,Yes,0.03538,59,2032,0.02734,0.04341
2007,5th Quintile,Owner,No,0.96462,1973,2032,0.95659,0.97266
2007,5th Quintile,Tenant,No,0.98164,789,789,0.97227,0.99102
2008,1st Quintile,Owner,No,0.94976,310,310,0.92540,0.97411
2008,1st Quintile,Tenant,Yes,0.03309,47,1545,0.02417,0.04202
2008,1st Quintile,Tenant,No,0.96691,1498,1545,0.95798,0.97583
2008,2nd Quintile,Owner,Yes,0.03784,37,736,0.02405,0.05164
2008,2nd Quintile,Owner,No,0.96216,699,736,0.94836,0.97595
2008,2nd Quintile,Tenant,Yes,0.05836,61,1235,0.04528,0.07144
2008,2nd Quintile,Tenant,No,0.94043,1174,1235,0.92722,0.95364
2008,3rd Quintile,Owner,Yes,0.04352,41,1095,0.03143,0.05561
2008,3rd Quintile,Owner,No,0.95648,1054,1095,0.94439,0.96857
2008,3rd Quintile,Tenant,Yes,0.04763,46,1072,0.03487,0.06038
2008,3rd Quintile,Tenant,No,0.95237,1026,1072,0.93962,0.96513
2008,4th Quintile,Owner,Yes,0.05734,69,1269,0.04454,0.07013
2008,4th Quintile,Owner,No,0.94012,1200,1269,0.92706,0.95318
2008,4th Quintile,Tenant,No,0.96805,819,819,0.95600,0.98010
2008,5th Quintile,Owner,Yes,0.03704,55,1950,0.02865,0.04542
2008,5th Quintile,Owner,No,0.96296,1895,1950,0.95458,0.97135
2008,5th Quintile,Tenant,No,0.98235,734,734,0.97282,0.99189
2009,1st Quintile,Owner,No,0.92113,276,276,0.88928,0.95299
2009,1st Quintile,Tenant,Yes,0.04463,54,1491,0.03414,0.05511
2009,1st Quintile,Tenant,No,0.95537,1437,1491,0.94489,0.96586
2009,2nd Quintile,Owner,Yes,0.03707,34,691,0.02297,0.05117
2009,2nd Quintile,Owner,No,0.96293,657,691,0.94883,0.97703
2009,2nd Quintile,Tenant,Yes,0.06558,75,1195,0.05154,0.07962
2009,2nd Quintile,Tenant,No,0.93442,1120,1195,0.92038,0.94846
2009,3rd Quintile,Owner,Yes,0.04079,40,1007,0.02857,0.05302
2009,3rd Quintile,Owner,No,0.95921,967,1007,0.94698,0.97143
2009,3rd Quintile,Tenant,Yes,0.04463,43,942,0.03143,0.05782
2009,3rd Quintile,Tenant,No,0.95537,899,942,0.94218,0.96857
2009,4th Quintile,Owner,Yes,0.05649,64,1262,0.04374,0.06923
2009,4th Quintile,Owner,No,0.94351,1198,1262,0.93077,0.95626
2009,4th Quintile,Tenant,No,0.97885,778,778,0.96873,0.98897
2009,5th Quintile,Owner,Yes,0.02984,43,1799,0.02197,0.03770
2009,5th Quintile,Owner,No,0.97016,1756,1799,0.96230,0.97803
2009,5th Quintile,Tenant,No,0.97792,674,674,0.96681,0.98902
2010,1st Quintile,Owner,Yes,0.07624,34,457,0.05188,0.10059
2010,1st Quintile,Owner,No,0.92376,423,457,0.89941,0.94812
2010,1st Quintile,Tenant,Yes,0.03295,85,2691,0.02620,0.03970
2010,1st Quintile,Tenant,No,0.96705,2606,2691,0.96030,0.97380
2010,2nd Quintile,Owner,Yes,0.04194,34,1117,0.03018,0.05371
2010,2nd Quintile,Owner,No,0.95806,1083,1117,0.94629,0.96982
2010,2nd Quintile,Tenant,Yes,0.06489,80,1803,0.05352,0.07627
2010,2nd Quintile,Tenant,No,0.93511,1723,1803,0.92373,0.94648
