year,quintil_oecd_hh,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2014,4th Quintile,Urban regions,Yes,0.11819090014070224,1729,15823,0.11809108767814382,0.11829071260326067
2014,4th Quintile,Urban regions,No,0.017418498399660955,229,15823,0.017378050580491144,0.017458946218830766
2014,4th Quintile,Rural regions,Yes,0.05372281939844003,846,15823,0.053653109565132424,0.053792529231747634
2014,4th Quintile,Rural regions,No,0.010598942176974583,156,15823,0.010567281302280372,0.010630603051668793
2014,5th Quintile,Urban regions,Yes,0.14107742105594068,2076,15823,0.1409697965358132,0.14118504557606815
2014,5th Quintile,Urban regions,No,0.013036209567895902,169,15823,0.013001139893079971,0.013071279242711833
2014,5th Quintile,Rural regions,Yes,0.041853446923140136,678,15823,0.04179153318178026,0.04191536066450001
2014,5th Quintile,Rural regions,No,0.004136318139298545,69,15823,0.00411647490881704,0.00415616136978005
2015,1st Quintile,Urban regions,Yes,0.08898917278827363,1592,15758,0.08890173443910285,0.08907661113744442
2015,1st Quintile,Urban regions,No,0.04420389334317901,711,15758,0.044140770800421184,0.04426701588593683
2015,1st Quintile,Rural regions,Yes,0.04099157005753013,814,15758,0.04093068228530288,0.04105245782975738
2015,1st Quintile,Rural regions,No,0.025829137529181246,418,15758,0.02578042461452646,0.02587785044383603
2015,2nd Quintile,Urban regions,Yes,0.09949148154470877,1623,15758,0.09939956187456832,0.09958340121484922
2015,2nd Quintile,Urban regions,No,0.02730158775531229,427,15758,0.02725154345158185,0.02735163205904273
2015,2nd Quintile,Rural regions,Yes,0.05377510691176271,978,15758,0.0537058346414578,0.05384437918206762
2015,2nd Quintile,Rural regions,No,0.019421304215730677,351,15758,0.019378925087596716,0.019463683343864637
2015,3rd Quintile,Urban regions,Yes,0.11281339909926776,1657,15758,0.11271624538137484,0.11291055281716067
2015,3rd Quintile,Urban regions,No,0.01620720727609436,272,15758,0.016168429981419697,0.016245984570769024
2015,3rd Quintile,Rural regions,Yes,0.05649470249151237,895,15758,0.056423802263823035,0.05656560271920171
2015,3rd Quintile,Rural regions,No,0.014380503236516172,215,15758,0.01434394263937473,0.014417063833657614
2015,4th Quintile,Urban regions,Yes,0.11874713826145755,1608,15758,0.11864779613736103,0.11884648038555408
2015,4th Quintile,Urban regions,No,0.018282587669737962,251,15758,0.018241445833160917,0.018323729506315008
2015,4th Quintile,Rural regions,Yes,0.05448669590957056,828,15758,0.05441699304061212,0.054556398778529
2015,4th Quintile,Rural regions,No,0.008458832040605768,129,15758,0.008430707711489058,0.008486956369722479
2015,5th Quintile,Urban regions,Yes,0.14035683789351566,2039,15758,0.14025016661763787,0.14046350916939346
2015,5th Quintile,Urban regions,No,0.01357412305045465,179,15758,0.013538587772678374,0.013609658328230925
2015,5th Quintile,Rural regions,Yes,0.042505797506579214,698,15758,0.04244384430472182,0.04256775070843661
2015,5th Quintile,Rural regions,No,0.0036889214190095627,67,15758,0.003670304029836614,0.003707538808182511
2016,1st Quintile,Urban regions,Yes,0.08623286032060258,2127,16402,0.08614686227408953,0.08631885836711563
2016,1st Quintile,Urban regions,No,0.0474886669004277,1275,16402,0.04742350938925928,0.04755382441159613
2016,1st Quintile,Rural regions,Yes,0.04009114608975026,1064,16402,0.040031046202569545,0.04015124597693097
2016,1st Quintile,Rural regions,No,0.026082648685994456,699,16402,0.02603382041797985,0.02613147695400906
2016,2nd Quintile,Urban regions,Yes,0.10458916454944137,1540,16402,0.10449541073596257,0.10468291836292017
2016,2nd Quintile,Urban regions,No,0.02589055726473735,367,16402,0.025841904334932962,0.02593921019454174
2016,2nd Quintile,Rural regions,Yes,0.05179784107603546,892,16402,0.05172994561815774,0.05186573653391318
2016,2nd Quintile,Rural regions,No,0.01781345984791289,300,16402,0.0177729364782883,0.017853983217537478
2016,3rd Quintile,Urban regions,Yes,0.11019866097263802,1449,16402,0.11010272773351881,0.11029459421175722
2016,3rd Quintile,Urban regions,No,0.01872505712411154,258,16402,0.018683529091933226,0.018766585156289855
2016,3rd Quintile,Rural regions,Yes,0.058132899526008364,848,16402,0.058061212555366365,0.05820458649665036
2016,3rd Quintile,Rural regions,No,0.012872843758355448,195,16402,0.012838308856901631,0.012907378659809265
2016,4th Quintile,Urban regions,Yes,0.12064166587932727,1560,16402,0.12054188070349842,0.12074145105515613
2016,4th Quintile,Urban regions,No,0.017071794531569186,210,16402,0.01703210875266909,0.01711148031046928
2016,4th Quintile,Rural regions,Yes,0.053305280100362444,775,16402,0.053236458540075485,0.0533741016606494
2016,4th Quintile,Rural regions,No,0.009094337852824536,113,16402,0.009065255059350321,0.00912342064629875
2016,5th Quintile,Urban regions,Yes,0.13935839124727023,1871,16402,0.13925229203643247,0.139464490458108
2016,5th Quintile,Urban regions,No,0.012941057538259092,150,16402,0.012906432453118094,0.01297568262340009
2016,5th Quintile,Rural regions,Yes,0.0440296086671,642,16402,0.04396675522655396,0.04409246210764604
2016,5th Quintile,Rural regions,No,0.0036420580672718596,58,16402,0.003623603003575327,0.003660513130968392
2017,1st Quintile,Urban regions,Yes,0.089858431516212,2332,18230,0.08977116859876201,0.089945694433662
2017,1st Quintile,Urban regions,No,0.04665974130974914,1376,18230,0.04659538502469436,0.04672409759480392
2017,1st Quintile,Rural regions,Yes,0.03918671573435795,1145,18230,0.03912750713746402,0.03924592433125189
2017,1st Quintile,Rural regions,No,0.024331656723111487,783,18230,0.024284642118937425,0.02437867132728555
2017,2nd Quintile,Urban regions,Yes,0.10357853114950488,1616,18230,0.10348555172897313,0.10367151057003664
2017,2nd Quintile,Urban regions,No,0.026830489206242553,417,18230,0.026781182683084125,0.026879795729400982
2017,2nd Quintile,Rural regions,Yes,0.05070026410331197,966,18230,0.05063332149537333,0.050767206711250616
2017,2nd Quintile,Rural regions,No,0.01923206919824604,337,18230,0.019190161677221346,0.01927397671927073
2017,3rd Quintile,Urban regions,Yes,0.11155024806654906,1635,18230,0.11145418696950225,0.11164630916359587
2017,3rd Quintile,Urban regions,No,0.018209672922997414,270,18230,0.018168873287440872,0.018250472558553957
2017,3rd Quintile,Rural regions,Yes,0.05505692414670973,959,18230,0.05498732488500043,0.055126523408419024
2017,3rd Quintile,Rural regions,No,0.014715115812279928,228,18230,0.014678374167932363,0.014751857456627493
2017,4th Quintile,Urban regions,Yes,0.12066201801729919,1774,18230,0.12056262427443817,0.1207614117601602
2017,4th Quintile,Urban regions,No,0.01735011366737848,230,18230,0.01731027118373753,0.017389956151019428
2017,4th Quintile,Rural regions,Yes,0.0529777620231434,887,18230,0.052909414508082245,0.05304610953820456
2017,4th Quintile,Rural regions,No,0.009079228577402218,155,18230,0.009050285828441577,0.009108171326362859
2017,5th Quintile,Urban regions,Yes,0.14203980424345108,2143,18230,0.14193328343864348,0.1421463250482587
