year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1995,Saxony,525,1534.08063,1453.38460,1614.77666,971.00000,1380.00000,1841.00000,352.00000,3146.00000,1380.00000,1278.00000,1483.37500
1995,Saxony-Anhalt,325,1461.41842,1385.94459,1536.89226,921.54461,1377.88470,1815.60092,297.00000,3156.68540,1380.00000,1278.00000,1534.00000
1995,Thuringa,315,1376.63066,1304.19110,1449.07023,869.00000,1286.01605,1790.00000,72.00000,3171.50000,1288.00000,1227.00000,1380.00000
1996,Schleswig-Holstein,144,1872.97393,1714.96813,2030.97974,1065.32330,1754.44778,2399.57832,286.00000,4400.96086,1738.00000,1534.00000,1994.00000
1996,Hamburg,75,1561.44222,1356.33054,1766.55390,903.81748,1336.64335,1920.56885,562.00000,3445.69589,1329.00000,1125.00000,1449.17500
1996,Lower Saxony,502,1906.98921,1771.88200,2042.09643,1217.45560,1645.72639,2301.00000,256.00000,3926.31660,1657.00000,1534.00000,1738.00000
1996,Bremen,48,1590.96564,1302.74358,1879.18769,869.00000,1310.68143,1806.83065,460.00000,3213.57661,1329.00000,1121.15000,1687.00000
1996,North Rhine-Westphalia,1211,1924.75132,1859.20879,1990.29386,1125.00000,1672.99977,2454.00000,256.00000,4447.50000,1673.00000,1534.00000,1790.00000
1996,Hesse,438,1980.10599,1863.32782,2096.88416,1125.00000,1777.72251,2556.00000,332.00000,4702.50000,1790.00000,1534.00000,1943.00000
1996,"Rhineland-Palatinate, Saarland",333,1844.61404,1748.52138,1940.70670,1121.99333,1790.00000,2403.00000,460.00000,4324.51000,1790.00000,1534.00000,1943.00000
1996,Baden-Wuerttemberg,796,1943.76743,1870.26507,2017.26978,1156.15397,1790.00000,2556.00000,179.00000,4655.76904,1790.00000,1674.00000,1892.00000
1996,Bavaria,805,1969.10971,1886.95337,2051.26604,1125.00000,1759.86328,2556.00000,220.00000,4702.50000,1759.00000,1636.00000,1790.00000
1996,Berlin,303,1811.83543,1678.20072,1945.47014,1074.00000,1532.48457,2312.70214,389.00000,4170.75535,1534.00000,1380.00000,1636.00000
1996,Brandenburg,291,1579.33498,1498.39735,1660.27260,1064.92171,1483.00000,1978.07969,348.00000,3347.81666,1483.00000,1380.00000,1534.00000
1996,Mecklenburg-Western Pomerania,193,1620.59166,1495.87442,1745.30889,1023.00000,1483.00000,2045.00000,205.00000,3578.00000,1483.00000,1278.00000,1605.00000
1996,Saxony,531,1584.62385,1518.07299,1651.17471,1023.00000,1454.15857,2043.76540,307.00000,3574.91351,1452.00000,1380.00000,1534.00000
1996,Saxony-Anhalt,317,1521.60586,1445.30280,1597.90892,1000.25474,1534.00000,1886.92018,238.00000,3216.91833,1534.00000,1380.00000,1534.00000
1996,Thuringa,316,1446.85291,1372.52255,1521.18327,920.00000,1329.00000,1790.00000,383.00000,3095.00000,1329.00000,1278.00000,1534.00000
1997,Schleswig-Holstein,135,2010.56110,1838.26177,2182.86043,1432.00000,1814.02112,2556.00000,368.00000,4242.00000,1813.00000,1685.72500,1944.27500
1997,Hamburg,76,1647.56666,1422.10456,1873.02876,1000.23894,1374.82597,2088.30638,307.00000,3720.40754,1380.00000,1161.00000,1534.00000
1997,Lower Saxony,505,1913.70171,1813.52082,2013.88259,1205.54469,1687.00000,2403.00000,175.00000,4199.18297,1687.00000,1585.00000,1790.00000
1997,Bremen,53,1512.99225,1294.93004,1731.05447,971.00000,1301.19889,1790.00000,614.00000,3018.50000,1299.00000,1122.45000,1483.00000
