year,quintil_oecd_hh,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2016,4th Quintile,Urban regions,1754,3.88366,3.81102,3.95630,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,4.00000
2016,4th Quintile,Rural regions,900,3.63843,3.54294,3.73391,2.00000,4.00000,5.00000,1.00000,7.00000,4.00000,3.00000,4.00000
2016,5th Quintile,Urban regions,2045,4.43167,4.36416,4.49919,3.00000,5.00000,5.00000,1.00000,7.00000,5.00000,4.00000,5.00000
2016,5th Quintile,Rural regions,705,4.21702,4.10162,4.33242,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,5.00000
2017,1st Quintile,Urban regions,,,,,,,,,,,,
2017,1st Quintile,Rural regions,,,,,,,,,,,,
2017,2nd Quintile,Urban regions,,,,,,,,,,,,
2017,2nd Quintile,Rural regions,,,,,,,,,,,,
2017,3rd Quintile,Urban regions,,,,,,,,,,,,
2017,3rd Quintile,Rural regions,,,,,,,,,,,,
2017,4th Quintile,Urban regions,,,,,,,,,,,,
2017,4th Quintile,Rural regions,,,,,,,,,,,,
2017,5th Quintile,Urban regions,,,,,,,,,,,,
2017,5th Quintile,Rural regions,,,,,,,,,,,,
2018,1st Quintile,Urban regions,,,,,,,,,,,,
2018,1st Quintile,Rural regions,,,,,,,,,,,,
2018,2nd Quintile,Urban regions,,,,,,,,,,,,
2018,2nd Quintile,Rural regions,,,,,,,,,,,,
2018,3rd Quintile,Urban regions,,,,,,,,,,,,
2018,3rd Quintile,Rural regions,,,,,,,,,,,,
2018,4th Quintile,Urban regions,,,,,,,,,,,,
2018,4th Quintile,Rural regions,,,,,,,,,,,,
2018,5th Quintile,Urban regions,,,,,,,,,,,,
2018,5th Quintile,Rural regions,,,,,,,,,,,,
2019,1st Quintile,Urban regions,,,,,,,,,,,,
2019,1st Quintile,Rural regions,,,,,,,,,,,,
2019,2nd Quintile,Urban regions,,,,,,,,,,,,
2019,2nd Quintile,Rural regions,,,,,,,,,,,,
2019,3rd Quintile,Urban regions,,,,,,,,,,,,
2019,3rd Quintile,Rural regions,,,,,,,,,,,,
2019,4th Quintile,Urban regions,,,,,,,,,,,,
2019,4th Quintile,Rural regions,,,,,,,,,,,,
2019,5th Quintile,Urban regions,,,,,,,,,,,,
2019,5th Quintile,Rural regions,,,,,,,,,,,,
2020,1st Quintile,Urban regions,,,,,,,,,,,,
2020,1st Quintile,Rural regions,,,,,,,,,,,,
2020,2nd Quintile,Urban regions,,,,,,,,,,,,
2020,2nd Quintile,Rural regions,,,,,,,,,,,,
2020,3rd Quintile,Urban regions,,,,,,,,,,,,
2020,3rd Quintile,Rural regions,,,,,,,,,,,,
2020,4th Quintile,Urban regions,,,,,,,,,,,,
2020,4th Quintile,Rural regions,,,,,,,,,,,,
2020,5th Quintile,Urban regions,,,,,,,,,,,,
2020,5th Quintile,Rural regions,,,,,,,,,,,,
2021,1st Quintile,Urban regions,2261,2.77636,2.71584,2.83688,2.00000,2.00000,4.00000,1.00000,7.00000,2.00000,2.00000,3.00000
2021,1st Quintile,Rural regions,925,2.75809,2.66680,2.84937,2.00000,2.00000,3.00000,1.00000,4.50000,2.00000,2.00000,3.00000
2021,2nd Quintile,Urban regions,1481,3.17243,3.09604,3.24883,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
2021,2nd Quintile,Rural regions,882,3.03078,2.93488,3.12668,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,2.97500,3.00000
2021,3rd Quintile,Urban regions,1339,3.57649,3.49525,3.65773,2.00000,3.00000,5.00000,1.00000,7.00000,3.00000,3.00000,4.00000
2021,3rd Quintile,Rural regions,731,3.41468,3.30721,3.52216,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,4.00000
2021,4th Quintile,Urban regions,1414,3.76393,3.68331,3.84456,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,3.00000,4.00000
2021,4th Quintile,Rural regions,685,3.76052,3.64876,3.87228,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,3.00000,4.00000
2021,5th Quintile,Urban regions,2029,4.32904,4.26021,4.39786,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,5.00000
2021,5th Quintile,Rural regions,695,4.06046,3.94277,4.17815,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,4.02500
2022,1st Quintile,Urban regions,,,,,,,,,,,,
2022,1st Quintile,Rural regions,,,,,,,,,,,,
2022,2nd Quintile,Urban regions,,,,,,,,,,,,
2022,2nd Quintile,Rural regions,,,,,,,,,,,,
2022,3rd Quintile,Urban regions,,,,,,,,,,,,
2022,3rd Quintile,Rural regions,,,,,,,,,,,,
2022,4th Quintile,Urban regions,,,,,,,,,,,,
2022,4th Quintile,Rural regions,,,,,,,,,,,,
2022,5th Quintile,Urban regions,,,,,,,,,,,,
2022,5th Quintile,Rural regions,,,,,,,,,,,,
