year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
2003,30-45 J.,higher vocational,Min 1x pro Monat,0.012285355298059472,27727,0.010988730757069225,0.01358197983904972
2003,46-65 J.,general elemantary,Min 1x pro Woche,0.01200614267764903,27727,0.010724156028407426,0.013288129326890634
2003,46-65 J.,higher vocational,Min 1x pro Monat,0.011866536367443808,27727,0.010591934879893858,0.013141137854993759
2003,66 und älter,higher education,Min 1x pro Monat,0.009958583461305784,27727,0.00878981066319542,0.011127356259416146
2003,30-45 J.,general elemantary,Min 1x pro Woche,0.00977244171436549,27727,0.008614534715694377,0.010930348713036603
2003,46-65 J.,higher vocational,Min 1x pro Woche,0.009679370840895343,27727,0.008526936721695858,0.010831804960094827
2003,18-29 J.,middle vocational,Taeglich,0.009586299967425195,27727,0.008439365888974567,0.010733234045875823
2003,30-45 J.,higher education,Seltener,0.0094001582204849,27727,0.008264307287561803,0.010536009153407997
2003,18-29 J.,in school,Min 1x pro Woche,0.009353622783749826,27727,0.008220560238252905,0.010486685329246747
2003,66 und älter,general elemantary,Seltener,0.009307087347014752,27727,0.008176820333377334,0.01043735436065217
2003,66 und älter,higher education,Min 1x pro Woche,0.008934803853134162,27727,0.007827164814357213,0.010042442891911111
2003,46-65 J.,general elemantary,Min 1x pro Monat,0.008888268416399088,27727,0.007783491683461473,0.009993045149336703
2003,66 und älter,general elemantary,Min 1x pro Monat,0.008748662106193867,27727,0.007652518777321128,0.009844805435066606
2003,18-29 J.,vocational + Abi,Min 1x pro Woche,0.008190236865372982,27727,0.0071293549390084865,0.009251118791737477
2003,46-65 J.,general elemantary,Seltener,0.00805063055516776,27727,0.006998755074883967,0.009102506035451555
2003,30-45 J.,vocational + Abi,Min 1x pro Monat,0.007911024244962539,27727,0.006868235584846605,0.008953812905078474
2003,46-65 J.,higher vocational,Seltener,0.006887244636790917,27727,0.00591376546293371,0.007860723810648123
2003,18-29 J.,general elemantary,Taeglich,0.006840709200055843,27727,0.005870501651140854,0.007810916748970832
2003,66 und älter,middle vocational,Nie,0.006794173763320769,27727,0.005827249219246756,0.0077610983073947825
2003,66 und älter,higher education,Seltener,0.006235748522499884,27727,0.0053091521165739685,0.007162344928425799
2003,18-29 J.,middle vocational,Seltener,0.006235748522499884,27727,0.0053091521165739685,0.007162344928425799
2003,46-65 J.,middle vocational,Nie,0.00618921308576481,27727,0.005266058990048718,0.007112367181480902
2003,18-29 J.,higher education,Min 1x pro Woche,0.005910000465354367,27727,0.005007782979046437,0.006812217951662297
2003,30-45 J.,general elemantary,Min 1x pro Monat,0.005211968914328261,27727,0.004364408208002076,0.0060595296206544455
2003,30-45 J.,higher vocational,Seltener,0.004979291730652892,27727,0.004150768908695811,0.005807814552609972
2003,18-29 J.,general elemantary,Min 1x pro Monat,0.0047931499837125975,27727,0.003980185041296505,0.00560611492612869
2003,18-29 J.,in school,Taeglich,0.004281260179626786,27727,0.003512733796365365,0.005049786562888207
2003,30-45 J.,middle vocational,Taeglich,0.004188189306156638,27727,0.0034280268464382427,0.0049483517658750345
2003,46-65 J.,vocational + Abi,Min 1x pro Monat,0.004141653869421565,27727,0.0033857086685319593,0.00489759907031117
2003,46-65 J.,vocational + Abi,Min 1x pro Woche,0.0039555121224812695,27727,0.0032166806990080003,0.004694343545954539
2003,30-45 J.,vocational + Abi,Seltener,0.003815905812276048,27727,0.00309017885557838,0.004541632768973717
2003,66 und älter,higher vocational,Min 1x pro Monat,0.003676299502070827,27727,0.002963921822498758,0.004388677181642896
2003,66 und älter,general elemantary,Nie,0.003629764065335753,27727,0.002921892933638413,0.004337635197033093
2003,66 und älter,higher vocational,Seltener,0.0035832286286006793,27727,0.0028798933459995217,0.004286563911201836
2003,30-45 J.,general elemantary,Seltener,0.003350551444925311,27727,0.0026703555746751487,0.004030747315175473
2003,66 und älter,higher vocational,Min 1x pro Woche,0.003117874261249942,27727,0.002461644635174712,0.0037741038873251717
2003,18-29 J.,general elemantary,Seltener,0.0027455907673693517,27727,0.00212966905276739,0.003361512481971313
2003,46-65 J.,middle vocational,Taeglich,0.002699055330634278,27727,0.0020883613502152834,0.0033097493110532724
2003,18-29 J.,higher vocational,Min 1x pro Woche,0.0026059844571641303,27727,0.0020058840523208125,0.003206084862007448
2003,18-29 J.,vocational + Abi,Min 1x pro Monat,0.0025129135836939828,27727,0.0019235991907261968,0.0031022279766617688
2003,18-29 J.,higher education,Min 1x pro Monat,0.002326771836753688,27727,0.0017596508897159196,0.0028938927837914566
2003,46-65 J.,general elemantary,Nie,0.0022802364000186143,27727,0.0017188022123532255,0.002841670587684003
