year,bula_h,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1990,Mecklenburg-Vorpommern,weiblich,0.5239934546443645,0.41404228923145014,0.6339446200572789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0
1990,Sachsen,maennlich,0.992094654211866,0.8877545660441808,1.0964347423795513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0
1990,Sachsen,weiblich,0.4054887427347681,0.34173523407347195,0.46924225139606424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0
1990,Sachsen-Anhalt,maennlich,1.1268420816218145,0.9915984150460613,1.2620857481975678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
1990,Sachsen-Anhalt,weiblich,0.39125233648855595,0.31524409611268667,0.46726057686442524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0
1990,Thueringen,maennlich,1.3240684638029743,1.1725719886867525,1.475564938919196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0
1990,Thueringen,weiblich,0.43219187971086637,0.34145761294021865,0.522926146481514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0
1991,Schleswig-Holstein,maennlich,,,,,,,,,,,,
1991,Schleswig-Holstein,weiblich,,,,,,,,,,,,
1991,Hamburg,maennlich,,,,,,,,,,,,
1991,Hamburg,weiblich,,,,,,,,,,,,
1991,Niedersachsen,maennlich,,,,,,,,,,,,
1991,Niedersachsen,weiblich,,,,,,,,,,,,
1991,Bremen,maennlich,,,,,,,,,,,,
1991,Bremen,weiblich,,,,,,,,,,,,
1991,Nordrhein-Westfalen,maennlich,,,,,,,,,,,,
1991,Nordrhein-Westfalen,weiblich,,,,,,,,,,,,
1991,Hessen,maennlich,,,,,,,,,,,,
1991,Hessen,weiblich,,,,,,,,,,,,
1991,"Rheinland-Pfalz,Saarland",maennlich,,,,,,,,,,,,
1991,"Rheinland-Pfalz,Saarland",weiblich,,,,,,,,,,,,
1991,Baden-Wuerttemberg,maennlich,,,,,,,,,,,,
1991,Baden-Wuerttemberg,weiblich,,,,,,,,,,,,
1991,Bayern,maennlich,,,,,,,,,,,,
1991,Bayern,weiblich,,,,,,,,,,,,
1991,Berlin,maennlich,,,,,,,,,,,,
1991,Berlin,weiblich,,,,,,,,,,,,
1991,Brandenburg,maennlich,,,,,,,,,,,,
1991,Brandenburg,weiblich,,,,,,,,,,,,
1991,Mecklenburg-Vorpommern,maennlich,,,,,,,,,,,,
1991,Mecklenburg-Vorpommern,weiblich,,,,,,,,,,,,
1991,Sachsen,maennlich,,,,,,,,,,,,
1991,Sachsen,weiblich,,,,,,,,,,,,
1991,Sachsen-Anhalt,maennlich,,,,,,,,,,,,
1991,Sachsen-Anhalt,weiblich,,,,,,,,,,,,
1991,Thueringen,maennlich,,,,,,,,,,,,
1991,Thueringen,weiblich,,,,,,,,,,,,
1992,Schleswig-Holstein,maennlich,0.5800225473499788,0.40053048983897765,0.75951460486098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
1992,Schleswig-Holstein,weiblich,0.29805837325058243,0.20102098826624354,0.3950957582349213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
1992,Hamburg,maennlich,0.23961205977115974,0.12552876465088866,0.3536953548914308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
1992,Hamburg,weiblich,0.26593706121910576,0.09747796479326981,0.4343961576449417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
1992,Niedersachsen,maennlich,0.9132420372215426,0.7996939531358267,1.0267901213072586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0
1992,Niedersachsen,weiblich,0.4494945572212873,0.37208094253410695,0.5269081719084676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0
1992,Bremen,maennlich,0.11024657919524478,0.04214370443931288,0.17834945395117668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
