"beruf","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Sonstige Nichterwerbspersonen","2006","Laendlicher Raum","595","0.0824970957017807","0.0763360169533595","0.0886581744502019"
"Angestellte, einfache Tätigkeiten","2007","Staedtischer Raum","1933","0.154793896783735","0.148714607175707","0.160873186391762"
"Angestellte, einfache Tätigkeiten","2007","Laendlicher Raum","1098","0.16455605063845","0.156001141217353","0.173110960059547"
"Angestellte, qualifizierte Tätigkeiten","2007","Staedtischer Raum","3716","0.269764194700293","0.262304546971751","0.277223842428836"
"Angestellte, qualifizierte Tätigkeiten","2007","Laendlicher Raum","1896","0.246376882180179","0.236434809986921","0.256318954373437"
"Arbeitslose","2007","Staedtischer Raum","662","0.0585378312774166","0.0545922194658684","0.0624834430889648"
"Arbeitslose","2007","Laendlicher Raum","502","0.0732970171790096","0.0672837117953385","0.0793103225626808"
"Beamte","2007","Staedtischer Raum","644","0.0358603034542868","0.0327351484229908","0.0389854584855829"
"Beamte","2007","Laendlicher Raum","260","0.0320146873847383","0.0279529780101654","0.0360763967593112"
"In Ausbildung","2007","Staedtischer Raum","920","0.0622418644728691","0.0581813475837937","0.0663023813619446"
"In Ausbildung","2007","Laendlicher Raum","538","0.0684467491122964","0.0626206202694388","0.0742728779551539"
"In Rente oder Pension","2007","Staedtischer Raum","3455","0.274048745475916","0.26655218164307","0.281545309308762"
"In Rente oder Pension","2007","Laendlicher Raum","1915","0.281869114169562","0.271488444367129","0.292249783971996"
"Selbstständige/ManagerInnen","2007","Staedtischer Raum","1044","0.0604548578171018","0.0564492444111345","0.064460471223069"
"Selbstständige/ManagerInnen","2007","Laendlicher Raum","490","0.062638728796243","0.0570479179448671","0.0682295396476189"
"Sonstige Nichterwerbspersonen","2007","Staedtischer Raum","1225","0.0842983060183819","0.0796286914342141","0.0889679206025498"
"Sonstige Nichterwerbspersonen","2007","Laendlicher Raum","517","0.0708007705395213","0.0648827939700446","0.076718747108998"
"Angestellte, einfache Tätigkeiten","2008","Staedtischer Raum","1797","0.157512123782036","0.151194446179272","0.163829801384799"
"Angestellte, einfache Tätigkeiten","2008","Laendlicher Raum","1042","0.176755703127525","0.167660294513051","0.185851111741999"
"Angestellte, qualifizierte Tätigkeiten","2008","Staedtischer Raum","3643","0.282786651592595","0.274976269675955","0.290597033509236"
"Angestellte, qualifizierte Tätigkeiten","2008","Laendlicher Raum","1816","0.250857373540904","0.240521032702249","0.261193714379558"
"Arbeitslose","2008","Staedtischer Raum","521","0.0498931776897607","0.0461172346279123","0.0536691207516092"
"Arbeitslose","2008","Laendlicher Raum","441","0.0650292603444462","0.0591499748669493","0.0709085458219431"
"Beamte","2008","Staedtischer Raum","583","0.0351639446323051","0.0319695086282815","0.0383583806363287"
"Beamte","2008","Laendlicher Raum","234","0.0291082084012221","0.0250998708803034","0.0331165459221408"
"In Ausbildung","2008","Staedtischer Raum","909","0.066732632738737","0.0624045973235306","0.0710606681539434"
"In Ausbildung","2008","Laendlicher Raum","486","0.0667752535836994","0.0608231287950247","0.072727378372374"
"In Rente oder Pension","2008","Staedtischer Raum","3322","0.271445923270499","0.26373349399999","0.279158352541007"
"In Rente oder Pension","2008","Laendlicher Raum","1833","0.27959274346749","0.268891774152737","0.290293712782243"
"Selbstständige/ManagerInnen","2008","Staedtischer Raum","947","0.0594473939522152","0.0553465183817515","0.0635482695226788"
"Selbstständige/ManagerInnen","2008","Laendlicher Raum","471","0.0628284453066865","0.057042706320323","0.06861418429305"
"Sonstige Nichterwerbspersonen","2008","Staedtischer Raum","1050","0.0770181523418524","0.0723942168797115","0.0816420878039932"
"Sonstige Nichterwerbspersonen","2008","Laendlicher Raum","434","0.0690530122280276","0.0630076139060758","0.0750984105499795"
"Angestellte, einfache Tätigkeiten","2009","Staedtischer Raum","1637","0.151902636354762","0.145422155433644","0.15838311727588"
"Angestellte, einfache Tätigkeiten","2009","Laendlicher Raum","997","0.175206009112011","0.165910085043899","0.184501933180124"
"Angestellte, qualifizierte Tätigkeiten","2009","Staedtischer Raum","3312","0.281567471392729","0.2734469117898","0.289688030995657"
"Angestellte, qualifizierte Tätigkeiten","2009","Laendlicher Raum","1763","0.260874622738401","0.250136699408173","0.27161254606863"
"Arbeitslose","2009","Staedtischer Raum","496","0.0514735824367377","0.0474840808956049","0.0554630839778705"
"Arbeitslose","2009","Laendlicher Raum","408","0.0666961841008413","0.0605950953968815","0.0727972728048012"
"Beamte","2009","Staedtischer Raum","533","0.0362778376824519","0.0329018695071284","0.0396538058577755"
"Beamte","2009","Laendlicher Raum","226","0.0302373381202663","0.026049886211027","0.0344247900295057"
"In Ausbildung","2009","Staedtischer Raum","839","0.070738360742632","0.0661092430291701","0.075367478456094"
"In Ausbildung","2009","Laendlicher Raum","432","0.0652385376223827","0.0591997767383857","0.0712772985063797"
"In Rente oder Pension","2009","Staedtischer Raum","3120","0.269770749469524","0.261757129075451","0.277784369863598"
"In Rente oder Pension","2009","Laendlicher Raum","1766","0.275171326786109","0.264250271733681","0.286092381838537"
"Selbstständige/ManagerInnen","2009","Staedtischer Raum","905","0.0630725992518828","0.0586835034678553","0.0674616950359103"
"Selbstständige/ManagerInnen","2009","Laendlicher Raum","430","0.0628723655306029","0.0569366292469844","0.0688081018142213"
"Sonstige Nichterwerbspersonen","2009","Staedtischer Raum","942","0.0751967626692809","0.0704354580602432","0.0799580672783187"
"Sonstige Nichterwerbspersonen","2009","Laendlicher Raum","402","0.0637036159893851","0.0577314201537612","0.069675811825009"
"Angestellte, einfache Tätigkeiten","2010","Staedtischer Raum","2228","0.143827753897511","0.13834895089402","0.149306556901002"
"Angestellte, einfache Tätigkeiten","2010","Laendlicher Raum","1435","0.176599160368959","0.168483009061983","0.184715311675936"
"Angestellte, qualifizierte Tätigkeiten","2010","Staedtischer Raum","4594","0.286303800770212","0.279246249985038","0.293361351555387"
"Angestellte, qualifizierte Tätigkeiten","2010","Laendlicher Raum","2405","0.270335372750812","0.260882512241273","0.279788233260352"
"Arbeitslose","2010","Staedtischer Raum","1040","0.0589834797478684","0.0553051760619858","0.062661783433751"
"Arbeitslose","2010","Laendlicher Raum","666","0.0567191098251278","0.051796046908262","0.0616421727419936"
"Beamte","2010","Staedtischer Raum","653","0.0370023655682939","0.0340551553236398","0.039949575812948"
"Beamte","2010","Laendlicher Raum","288","0.0309751398503763","0.0272877057951202","0.0346625739056324"
"In Ausbildung","2010","Staedtischer Raum","1049","0.0748114780129423","0.0707039266871984","0.0789190293386863"
"In Ausbildung","2010","Laendlicher Raum","505","0.0647052563932019","0.0594693220392089","0.0699411907471949"
"In Rente oder Pension","2010","Staedtischer Raum","3001","0.265353356208359","0.258459927234864","0.272246785181854"
"In Rente oder Pension","2010","Laendlicher Raum","1700","0.282878638739448","0.273292436848735","0.292464840630162"
"Selbstständige/ManagerInnen","2010","Staedtischer Raum","1217","0.0641839671265461","0.0603575502584972","0.068010383994595"
"Selbstständige/ManagerInnen","2010","Laendlicher Raum","558","0.0570168291776031","0.0520816415696209","0.0619520167855853"
"Sonstige Nichterwerbspersonen","2010","Staedtischer Raum","1977","0.0695337986682669","0.0655625046441694","0.0735050926923645"
"Sonstige Nichterwerbspersonen","2010","Laendlicher Raum","923","0.0607704928944712","0.0556855929899809","0.0658553927989615"
"Angestellte, einfache Tätigkeiten","2011","Staedtischer Raum","2636","0.144421456765686","0.139338231971701","0.149504681559671"
"Angestellte, einfache Tätigkeiten","2011","Laendlicher Raum","1837","0.179331211120523","0.171955389225255","0.186707033015792"
"Angestellte, qualifizierte Tätigkeiten","2011","Staedtischer Raum","5501","0.291735636130082","0.285162298352455","0.29830897390771"
"Angestellte, qualifizierte Tätigkeiten","2011","Laendlicher Raum","2915","0.26772134490589","0.259208431639391","0.276234258172389"
"Arbeitslose","2011","Staedtischer Raum","1000","0.0459586913864014","0.0429306561146029","0.0489867266582"
"Arbeitslose","2011","Laendlicher Raum","734","0.0529709108552536","0.0486646641996451","0.0572771575108622"
"Beamte","2011","Staedtischer Raum","788","0.0361425371899936","0.0334434977031974","0.0388415766767898"
"Beamte","2011","Laendlicher Raum","372","0.0311997210431243","0.0278570702739738","0.0345423718122749"
"In Ausbildung","2011","Staedtischer Raum","1210","0.0671269117286598","0.0635082071590573","0.0707456162982623"
"In Ausbildung","2011","Laendlicher Raum","613","0.0619914682913749","0.0573552072810569","0.066627729301693"
"In Rente oder Pension","2011","Staedtischer Raum","3882","0.275099799589006","0.268642101160883","0.281557498017129"
"In Rente oder Pension","2011","Laendlicher Raum","2268","0.280720020069116","0.272080607749545","0.289359432388686"
"Selbstständige/ManagerInnen","2011","Staedtischer Raum","1420","0.0647046614094533","0.0611472369868609","0.0682620858320457"
"Selbstständige/ManagerInnen","2011","Laendlicher Raum","703","0.062179427921302","0.0575366088405809","0.0668222470020231"
"Sonstige Nichterwerbspersonen","2011","Staedtischer Raum","1933","0.0748103058007176","0.0710058755953958","0.0786147360060394"
"Sonstige Nichterwerbspersonen","2011","Laendlicher Raum","950","0.0638858957934162","0.0591840821622954","0.0685877094245371"
"Angestellte, einfache Tätigkeiten","2012","Staedtischer Raum","2566","0.145894206112928","0.140705669847718","0.151082742378137"
"Angestellte, einfache Tätigkeiten","2012","Laendlicher Raum","1753","0.168956483072424","0.161725943803438","0.176187022341409"
"Angestellte, qualifizierte Tätigkeiten","2012","Staedtischer Raum","5489","0.297472894853867","0.290753576121313","0.304192213586422"
"Angestellte, qualifizierte Tätigkeiten","2012","Laendlicher Raum","3000","0.275627671064705","0.267005558082567","0.284249784046843"
"Arbeitslose","2012","Staedtischer Raum","922","0.0453633938893799","0.0423046591794343","0.0484221285993256"
"Arbeitslose","2012","Laendlicher Raum","693","0.0593357908961886","0.0547770274892807","0.0638945543030964"
"Beamte","2012","Staedtischer Raum","763","0.0377423210051496","0.0349412120959955","0.0405434299143037"
"Beamte","2012","Laendlicher Raum","375","0.0330492938252818","0.0295998058503928","0.0364987818001708"
"In Ausbildung","2012","Staedtischer Raum","1172","0.0655488939576845","0.0619111596558956","0.0691866282594733"
"In Ausbildung","2012","Laendlicher Raum","620","0.0556351886825785","0.0512121976745188","0.0600581796906382"
"In Rente oder Pension","2012","Staedtischer Raum","3806","0.270694617211897","0.264163845251408","0.277225389172386"
"In Rente oder Pension","2012","Laendlicher Raum","2371","0.286114914321473","0.277394125325722","0.294835703317224"
"Selbstständige/ManagerInnen","2012","Staedtischer Raum","1351","0.0677734661787376","0.0640789244270109","0.0714680079304643"
"Selbstständige/ManagerInnen","2012","Laendlicher Raum","653","0.0594923555926713","0.0549279616199184","0.0640567495654241"
"Sonstige Nichterwerbspersonen","2012","Staedtischer Raum","1712","0.0695102067903567","0.0657721138324075","0.073248299748306"
